CPF;DESCRICAO;STATUS
12345678901;teste 1;APROVADA
45678901234;teste 2;APROVADA
34567890123;teste 3;APROVADA
54751678901;teste 4;APROVADA
45741901234;teste 5;REPROVADA
4717890123;teste 6;APROVADA
15477832109;teste 7;APROVADA
12345678901;teste 11;APROVADA
12345678901;teste 12;APROVADA
45678901234;teste 13;APROVADA
45678901234;teste 14;APROVADA
45678901234;teste 15;APROVADA
45678901234;teste 16;APROVADA
45741901234;teste 17;APROVADA
45741901234;teste 18;APROVADA
45741901234;teste 19;APROVADA
4717890123;teste 21;APROVADA
